time NV31 NV44 XDUT_LP1_I XDUT_B1_I XDUT_L2_I XDUT_L3_I XDUT_B2_I XDUT_LP2_I
1.125000000000001e-011 9.312542973100177e-005 9.350780402984787e-005 2.406148438447282e-004 1.549669820389349e-004 -3.496935300989213e-004 3.505864699010787e-004 1.561319605341728e-004 2.418287134394867e-004 
1.150000000000001e-011 1.364328900669691e-004 1.365768610574365e-004 2.324626960903970e-004 1.318066557801607e-004 -3.496885816447900e-004 3.505914183552099e-004 1.330641865918573e-004 2.337292560822625e-004 
1.175000000000001e-011 1.455980640754477e-004 1.455949724983109e-004 2.223256542318854e-004 1.016414224782886e-004 -3.496703741619051e-004 3.506096258380948e-004 1.030577062748741e-004 2.236738491186237e-004 
1.200000000000001e-011 2.073439781320661e-004 2.071853083051829e-004 2.095330147853289e-004 6.205635193403075e-005 -3.496401215502821e-004 3.506398784497178e-004 6.368171869673384e-005 2.109921100308080e-004 
1.225000000000001e-011 2.404294470247985e-004 2.402543726220174e-004 1.932745655881181e-004 1.028876792911773e-005 -3.496033231858306e-004 3.506766768141694e-004 1.212996545466546e-005 1.948599952770494e-004 
1.250000000000002e-011 3.292347706128859e-004 3.291421237198775e-004 1.728005451399920e-004 -5.579049280438610e-005 -3.495732654896300e-004 3.507067345103700e-004 -5.381342982352356e-005 1.744894730327391e-004 
1.275000000000002e-011 3.823940974305627e-004 3.826899300880706e-004 1.480728496352503e-004 -1.356107679513315e-004 -3.495759684889930e-004 3.507040315110069e-004 -1.337100159530313e-004 1.497636646408261e-004 
1.300000000000002e-011 4.620429798746540e-004 4.629167739332300e-004 1.210550001173010e-004 -2.206691781211881e-004 -3.496461303925794e-004 3.506338696074206e-004 -2.193121720168294e-004 1.225382691782867e-004 
1.325000000000002e-011 4.538381716229870e-004 4.551109431743836e-004 9.692890870028116e-005 -2.880955212620759e-004 -3.497992078755314e-004 3.504807921244685e-004 -2.877853964704440e-004 9.793402818008183e-005 
1.350000000000002e-011 4.298710395348492e-004 4.304635843709641e-004 8.335461426111542e-005 -3.090465992649206e-004 -3.499949312611907e-004 3.502850687388093e-004 -3.099778016704181e-004 8.369342247249865e-005 
1.375000000000002e-011 3.375644225017676e-004 3.357943956328017e-004 8.696235372202590e-005 -2.661959291388529e-004 -3.501404130662581e-004 3.501395869337419e-004 -2.680175237215071e-004 8.664564208608627e-005 
1.400000000000002e-011 3.232650345584761e-004 3.169859262631112e-004 1.095812346957591e-004 -1.686992993203733e-004 -3.501463252090622e-004 3.501336747909377e-004 -1.707203175865422e-004 1.087378035408323e-004 
1.425000000000002e-011 3.545010925066141e-004 3.415368519435006e-004 1.475992885536015e-004 -5.020773644259719e-005 -3.499811863956325e-004 3.502988136043674e-004 -5.195835443365840e-005 1.462137033487384e-004 
1.450000000000002e-011 5.148305691145354e-004 4.933804558847890e-004 1.943444553527241e-004 4.988333021762869e-005 -3.496728707327141e-004 3.506071292672859e-004 4.821736685324074e-005 1.920412356874812e-004 
1.475000000000002e-011 6.443433935396043e-004 6.159076214418339e-004 2.419434815697723e-004 1.062750993571175e-004 -3.492739344298131e-004 3.510060655701868e-004 1.040030643503807e-004 2.381181392831634e-004 
1.500000000000002e-011 7.063070617977974e-004 6.757578570125785e-004 2.812403198705418e-004 1.159939503229828e-004 -3.488301282296041e-004 3.514498717703958e-004 1.125465828177385e-004 2.755036413295822e-004 
1.525000000000002e-011 5.564966172898467e-004 5.243151792420689e-004 3.038361911873101e-004 9.559603162829335e-005 -3.483487350919298e-004 3.519312649080702e-004 9.079559959159397e-005 2.961044200199854e-004 
1.550000000000002e-011 3.436336953398611e-004 2.987582839198905e-004 3.078101464629086e-004 7.281458426229525e-005 -3.477557043242364e-004 3.525242956757636e-004 6.632786382804630e-005 2.976344452746232e-004 
1.575000000000002e-011 1.067907159091191e-004 3.444241607850118e-005 3.003822076867032e-004 7.346828408041217e-005 -3.468839469625191e-004 3.533960530374808e-004 6.438352349505897e-005 2.863670539921249e-004 
1.600000000000002e-011 1.359109771714974e-005 -8.774860711363741e-005 2.932140554741349e-004 1.085649449494684e-004 -3.455466238801384e-004 3.547333761198615e-004 9.615016162923467e-005 2.736926938177414e-004 
1.625000000000002e-011 -7.472078416175729e-006 -1.172489306566794e-004 2.950062608059377e-004 1.701851261021449e-004 -3.436865817109217e-004 3.565934182890782e-004 1.552902310369716e-004 2.697302830094553e-004 
1.650000000000001e-011 8.630820595317422e-005 2.566361617313665e-006 3.071001932909293e-004 2.367255519121937e-004 -3.415232733773873e-004 3.587567266226127e-004 2.221288904078003e-004 2.783825302925620e-004 
1.675000000000001e-011 1.479567609821093e-004 1.220337874140888e-004 3.238124083185597e-004 2.837255962680577e-004 -3.395791166242928e-004 3.607008833757072e-004 2.727061099653494e-004 2.960173212135777e-004 
1.700000000000001e-011 2.113548136750193e-004 2.535584992527146e-004 3.366523852187529e-004 2.959756073904919e-004 -3.384865749480585e-004 3.617934250519415e-004 2.901063358323953e-004 3.142450093193128e-004 
1.725000000000001e-011 1.752816863959355e-004 2.677939548994994e-004 3.396263682995226e-004 2.749467895741389e-004 -3.386375995820986e-004 3.616424004179014e-004 2.729050229768219e-004 3.250346409940009e-004 
1.750000000000001e-011 1.354546535436621e-004 2.450828823241272e-004 3.320284367398194e-004 2.366107636216275e-004 -3.399332394478354e-004 3.603467605521646e-004 2.352058809842003e-004 3.248879310516024e-004 
1.775000000000001e-011 3.507546791550064e-005 1.320777135639188e-004 3.175687451336007e-004 2.014198523931091e-004 -3.418437807119000e-004 3.584362192881000e-004 1.979769335802560e-004 3.157004790409305e-004 
1.800000000000001e-011 -1.250385033685724e-005 5.485180896397048e-005 3.017222481557259e-004 1.841693466743505e-004 -3.437135632712708e-004 3.565664367287291e-004 1.780665524950272e-004 3.026472208849000e-004 
1.825000000000001e-011 -7.070874931186261e-005 -3.634443230536222e-005 2.893693203269560e-004 1.895697961766224e-004 -3.450602467501678e-004 3.552197532498322e-004 1.820591949325560e-004 2.912650576597505e-004 
1.850000000000001e-011 -5.028508997779998e-005 -4.178671165803907e-005 2.833405926988295e-004 2.132142978485015e-004 -3.457038871613124e-004 3.545761128386876e-004 2.063786483698588e-004 2.853406868449368e-004 
