time NV31 NV44 XDUT_LP1_I XDUT_B1_I XDUT_L2_I XDUT_L3_I XDUT_B2_I XDUT_LP2_I
1.200000000000001e-011 3.153817730284614e-005 3.193265139690659e-005 2.417434109450602e-004 2.303099677412642e-004 -3.151105167086202e-004 3.151414832913798e-004 2.302797283691470e-004 2.418839100056580e-004 
1.225000000000001e-011 1.390074007674459e-005 1.431657346469560e-005 2.402173060606217e-004 2.278533255065516e-004 -3.151271320578304e-004 3.151248679421696e-004 2.278417502336214e-004 2.403419879420045e-004 
1.250000000000002e-011 3.587511733800425e-005 3.626687372061179e-005 2.385297402408598e-004 2.250412345303344e-004 -3.151419840451155e-004 3.151100159548845e-004 2.250441322868784e-004 2.386454885337622e-004 
1.275000000000002e-011 1.920574518275621e-005 1.963540429877966e-005 2.366484247499247e-004 2.217922992169482e-004 -3.151576285576606e-004 3.150943714423394e-004 2.217930359056793e-004 2.367529334613110e-004 
1.300000000000002e-011 4.242444893800557e-005 4.283334873314230e-005 2.345293725080530e-004 2.179943320906080e-004 -3.151757330959028e-004 3.150762669040972e-004 2.179711348104102e-004 2.346138729984182e-004 
1.325000000000002e-011 2.737021676264618e-005 2.781649494739637e-005 2.321129821230211e-004 2.134946741991460e-004 -3.151969983040986e-004 3.150550016959014e-004 2.134269087107728e-004 2.321658704043461e-004 
1.350000000000002e-011 5.270972970319708e-005 5.313784456671274e-005 2.293189172375776e-004 2.080857258116899e-004 -3.152214449631587e-004 3.150305550368413e-004 2.079572068130456e-004 2.293286684481789e-004 
1.375000000000002e-011 4.048079259086041e-005 4.095574786500898e-005 2.260386143132457e-004 2.014823392201124e-004 -3.152488768150696e-004 3.150031231849304e-004 2.012812517689303e-004 2.259950799998072e-004 
1.400000000000002e-011 6.964892315694123e-005 7.012350274077895e-005 2.221237757155590e-004 1.932862828197618e-004 -3.152793378429823e-004 3.149726621570177e-004 1.930024690731433e-004 2.220177432190936e-004 
1.425000000000002e-011 6.270612297985576e-005 6.325443040287925e-005 2.173684882336583e-004 1.829306258781049e-004 -3.153134535999267e-004 3.149385464000733e-004 1.825514931832874e-004 2.171899231473442e-004 
1.450000000000002e-011 9.931260709786159e-005 9.989799796460334e-005 2.114815108779715e-004 1.695934761081557e-004 -3.153526324742735e-004 3.148993675257265e-004 1.690996578172993e-004 2.112170864373808e-004 
1.475000000000002e-011 1.030217897234268e-004 1.037316654088127e-004 2.040438853778829e-004 1.520673793485084e-004 -3.153991553314054e-004 3.148528446685946e-004 1.514289002090574e-004 2.036743236682725e-004 
1.500000000000002e-011 1.550835076700576e-004 1.558974201932231e-004 1.944464682569910e-004 1.285753478165863e-004 -3.154561450421187e-004 3.147958549578813e-004 1.277491059040246e-004 1.939441844675617e-004 
1.525000000000002e-011 1.812701130193025e-004 1.822895415479319e-004 1.818073876510051e-004 9.656561008179858e-005 -3.155271726285694e-004 3.147248273714306e-004 9.549677371823418e-005 1.811355773315103e-004 
1.550000000000002e-011 2.652846531327351e-004 2.664795718794979e-004 1.648992819447101e-004 5.267915589061915e-005 -3.156145633096696e-004 3.146374366903304e-004 5.131477467688632e-005 1.640163056055267e-004 
1.575000000000002e-011 3.332427822487819e-004 3.346182252094913e-004 1.422245158898780e-004 -6.507985621633475e-006 -3.157139685668161e-004 3.145380314331839e-004 -8.175687886574242e-006 1.411045661288255e-004 
1.600000000000002e-011 4.595441599700361e-004 4.607673296914549e-004 1.126554407692541e-004 -8.209686456826307e-005 -3.158019750918098e-004 3.144500249081902e-004 -8.394708702654323e-005 1.113458782008598e-004 
1.625000000000002e-011 5.384315276570103e-004 5.390149442913548e-004 7.733169236464298e-005 -1.687582305951771e-004 -3.158248139508224e-004 3.144271860491776e-004 -1.703892623183221e-004 7.604368600743363e-005 
1.650000000000001e-011 5.973698794106543e-004 5.969136808827878e-004 4.230617953269555e-005 -2.409261983049952e-004 -3.157237762302847e-004 3.145282237697153e-004 -2.416028581337696e-004 4.143027518929194e-005 
1.675000000000001e-011 5.272173506550933e-004 5.263761868983776e-004 1.857177182742781e-005 -2.629563915670429e-004 -3.155059203940776e-004 3.147460796059224e-004 -2.621856399223672e-004 1.848620568606586e-005 
1.700000000000001e-011 4.413808363104516e-004 4.415126926403207e-004 1.702178721550721e-005 -2.163354583434926e-004 -3.152772467261416e-004 3.149747532738584e-004 -2.141711838522084e-004 1.780658403171160e-005 
1.725000000000001e-011 3.464983414431445e-004 3.487269543781646e-004 4.209918656321810e-005 -1.032755823274402e-004 -3.151674543167190e-004 3.150845456832810e-004 -1.008880212319026e-004 4.347068234616854e-005 
